field,focalMm,focalRatio,limitMag,defocusSteps,aberr,arm,iters,starsQueried,stampJobs,distinctKernels,kernelCacheBytes,maxKernelRadiusPx,orientationBins,defocusQuantumUm,totalMsMedian,totalMsMin,totalMsMax,queryMs,jobBuildMs,kernelGenMs,stampMs,developMs,kernelGenMsPerKernel,skyPlusDarkElectronsPerPx,config,processorCount
dense-oversampled,2000,8.00,17.0,350,A0,off,5,4750,1670,1,308800,34,1,15.04,358.3,354.3,382.7,43.3,49.0,5.2,15.0,281.6,5.21,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A0,on-zero,5,4750,1670,1,308800,34,1,15.04,360.4,356.5,413.9,43.6,49.4,5.2,15.1,282.4,5.23,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A0,on,5,4750,1670,1,308800,34,1,15.04,359.8,348.9,397.6,43.3,49.5,5.2,15.3,281.8,5.18,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A0,on-strong,5,4750,1670,1,308800,34,1,15.04,373.2,354.8,411.6,44.0,49.7,5.2,15.9,288.7,5.21,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A1,off,5,4750,1670,5,1491776,34,1,15.04,363.0,357.8,405.6,44.2,50.8,6.0,15.7,283.8,1.20,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A1,on-zero,5,4750,1670,5,1491776,34,1,15.04,356.9,354.6,407.4,43.8,50.9,5.5,15.9,280.6,1.10,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A1,on,5,4750,1670,64,19738624,34,13,15.04,388.9,379.9,396.7,43.6,81.1,33.4,16.2,278.8,0.52,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A1,on-strong,5,4750,1670,191,59341248,34,27,15.04,454.4,446.1,456.2,43.7,147.4,102.7,16.3,275.9,0.54,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A2,off,5,4750,1670,8,2332160,34,1,15.04,357.5,356.8,389.8,43.6,50.2,6.0,15.1,281.5,0.75,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A2,on-zero,5,4750,1670,8,2332160,34,1,15.04,356.5,355.4,369.4,43.8,51.4,7.6,15.9,277.5,0.95,4.68,Release,48
